text
أكدت صحيفة واشنطن بوست اليوم الثلاثاء أن إسرائيل جعلت من المستشفيات هدفا رئيسيا لحربها المستمرة على قطاع غزة، موثقة 90 حادثة استهداف منذ 7 أكتوبر/تشرين الأول الماضي.
وصل اليوم الثلاثاء، إلى مدينة قم المقدسة لدى الإيرانيين، جثمان الرئيس الراحل إبراهيم رئيسي ومن كانوا معه بحادثة المروحية، في أعقاب مصرعهم الأحد الماضي شمال غربي البلاد.
يؤدي التعب والإرهاق الناتج عن الرحلات المتتالية إلى فقدان التركيز لدى طاقم الطائرة وربما نومهم، مما يفضي إلى نتائج كارثية تخلّف مئات الضحايا من الأرواح البريئة، فهل من سبيل لتفادي الكارثة؟
شاعر ناهض النظام الناصري، ولم يهادن نظام السادات المطبع مع إسرائيل، وكانت قصائده نارية حتى سُمي بشاعر الرفض الأول.
قال وزير الخارجية الأميركي أنتوني بلينكن -اليوم الثلاثاء- إنه لو توفرت لديهم معلومات عن موقع وجود يحيى السنوار “سنمررها إلى إسرائيل”، وذلك في ظل الحرب الإسرائيلية المستمرة على قطاع غزة لليوم الـ228. 
أثار فيديو سقوط أحد الفلسطينيين أسفل عجلات شاحنة تحمل مساعدات إنسانية في قطاع غزة، موجة غضب عارمة على منصات التواصل الاجتماعي، وسط تنديد باستخدام الاحتلال التجويع سلاحا خلال الحرب الجارية.
اتهمت صحيفة هآرتس -الثلاثاء- رئيس الوزراء الإسرائيلي بنيامين نتنياهو بأنه “يقود إسرائيل إلى كارثة” بعد طلب المدعي العام للمحكمة الجنائية الدولية استصدار أوامر اعتقال ضد كل من نتنياهو ووزير دفاعه.
تفاعل رواد العالم الافتراضي مع اقتحام قوات الاحتلال مدينة جنين ومخيمها صباح اليوم الثلاثاء، واستشهاد 7 أشخاص بينهم طالب ومعلم وطبيب، كما تلطخ سجل العلامات المدرسية بالدم.
منحت جامعة بيرزيت مراسل قناة الجزيرة في غزة هشام زقوت “جائزة شيرين أبو عاقلة للتميز الإعلامي” لعام 2024، التي خصصت هذا العام لصحفيي قطاع غزة، تقديرا لدورهم في تغطية الحرب المتواصلة على القطاع.
أفادت الرئاسة السورية -اليوم الثلاثاء- بتشخيص إصابة أسماء الأسد قرينة الرئيس بشار الأسد بسرطان الدم (لوكيميا)، وذلك بعد نحو 5 سنوات من إعلانها التعافي “التام” من إصابة بسرطان الثدي.
قالت وكالة أسوشيتد برس للأنباء إن السلطات الإسرائيلية صادرت معداتها، وأوقفت بثها الحي من موقع في سديروت يظهر المشهد في شمال قطاع غزة، بحجة مخالفة قانون إعلامي.
بثت كتائب القسام الجناح العسكري لحركة المقاومة الإسلامية (حماس) مقطع فيديو جديدا يظهر وضع أحد مقاتليها عبوة العمل الفدائي على بعد أمتار قليلة من دبابة إسرائيلية شرقي مدينة رفح جنوبي قطاع غزة.
لقيت 10 نساء على الأقل مصرعهن اليوم الثلاثاء إثر سقوط حافلة ركاب كانت تقلّهن في نهر النيل من على متن إحدى العبّارات قبالة قرية أبو غالب بمنطقة منشأة القناطر التابعة لمحافظة الجيزة غرب القاهرة.
